,rest_name,locality,rating,cuisines,cost_for_two,votes
1092,Night Time Food                                     ,Vejalpur,3.2,"['Fast Food', 'North Indian']",400,82
1093,Navin Chavana And Sweet Mart                                     ,Navrangpura,3.9,"['Mithai', 'Street Food']",250,88
1094,Swati's Kitchen                                     ,Ranip,3.3,['North Indian'],500,61
1095,La Shake Esfera                                     ,Shahibagh,3.7,"['Beverages', 'Desserts']",400,75
1096,Yogesh Khaman House                                     ,Naranpura,4,['Fast Food'],100,100
1097,Eat & Meet                                     ,Ellis Bridge,3.5,"['North Indian', 'Fast Food']",500,90
1098,Paratha King                                     ,Vastrapur,3.5,['North Indian'],250,90
1099,Roopali Hotel                                     ,Lal Darwaja,3.8,['North Indian'],250,85
1100,Kabhi B                                     ,Ambavadi,3.6,"['Bakery', 'Desserts']",300,64
1101,Cafe Casino                                     ,Bopal,3.9,"['Cafe', 'North Indian', 'Chinese']",400,62
1102,Street Zaika                                     ,Thaltej,3.7,"['South Indian', 'Chinese']",500,49
1103,Cabana Lounge                                     ,Bodakdev,3.9,"['Fast Food', 'Beverages']","1,000",60
1104,Mobileaty                                     ,"SBR Social, Bodakdev",3.8,['Fast Food'],400,68
1105,Shri Atithi Dhaba                                     ,Adalaj,3.8,"['North Indian', 'Gujarati']",450,63
1106,Nikka Punjab                                     ,Mani Nagar,3.4,['North Indian'],300,67
1107,Casa Della Pizza                                     ,Nava Vadaj,3.9,['Italian'],300,87
1108,New Ronak Fry Centre                                     ,Sarkhej,3.8,"['Fast Food', 'North Indian']",300,95
1109,Rajkamal Bakery                                     ,Mani Nagar,3.9,['Bakery'],200,91
1110,High On Chai                                     ,Bodakdev,3.6,['Tea'],100,77
1111,The Fruit Lab                                     ,"Fun Food Battalian, Bopal",3.8,"['Healthy Food', 'Beverages']",300,68
1112,Jaysingh's Ice Cream                                     ,Satellite,4,['Ice Cream'],200,85
1113,Lucknowi Nawab                                     ,Chandkheda,3.8,"['Mughlai', 'North Indian']",600,78
1114,Cinnamon                                     ,Bodakdev,3.4,"['North Indian', 'Chinese', 'Fast Food']",700,51
1115,One Ten Restaurant                                     ,Odhav,3.5,"['North Indian', 'Chinese']",550,94
1116,Daire D Daire                                     ,Gulbai Tekra,3.6,"['Fast Food', 'Street Food']",500,51
1117,Apsara Ice Creams                                     ,Chandkheda,4.2,"['Ice Cream', 'Desserts']",200,74
1118,Shreeji Street Cafe                                     ,Navrangpura,3.1,"['Street Food', 'Fast Food', 'Chinese']",300,85
1119,Aadi's Egg N Chick N Curries                                     ,Chandlodia,3.3,"['Mughlai', 'Chinese', 'Seafood']",600,90
1120,City Restaurant                                     ,Vastral,3.5,"['North Indian', 'Gujarati', 'Fast Food']",550,75
1121,Indichini                                     ,Airport Gandhinagar Highway,3.5,"['Chinese', 'North Indian', 'Italian', 'Continental']",900,79
1122,Awara The Cafe                                     ,Airport Gandhinagar Highway,3.8,['Fast Food'],400,86
1123,7 Cheff                                     ,Satellite,3.6,"['Pizza', 'Fast Food', 'Beverages']",500,83
1124,Niki's Kitchen                                     ,Chandkheda,3.5,"['North Indian', 'Mughlai', 'Chinese', 'Gujarati']",450,67
1125,Hayoc                                     ,Vasna,3.8,['Fast Food'],200,73
1126,Ariva Multi Cuisine - Aarya Grand                                     ,"Aarya Grand Hotels & Resorts, Sola",3.8,"['North Indian', 'Italian', 'Chinese']","1,200",53
1127,Nandu Franky & Dosa Wala                                     ,Satellite,3.8,"['South Indian', 'Rolls']",250,90
1128,Pokket Cafe                                     ,Memnagar,4,['Cafe'],400,64
1129,My Sandwich Corner                                     ,Navrangpura,3.4,"['Sandwich', 'Fast Food', 'Pizza', 'Burger', 'Beverages']",300,81
1130,Hotel Bait Inn                                     ,Ashram Road,3.8,"['North Indian', 'Fast Food']",600,69
1131,Jay Ambe Bhajipav And Pulav                                     ,Sabarmati,3.3,['North Indian'],200,74
1132,Ambica Dughdhalay                                     ,Paldi,4.2,"['Mithai', 'Desserts']",300,78
1133,Lunchbox                                     ,Vejalpur,3.5,['North Indian'],200,80
1134,CurryOcity                                     ,Sola,3.5,['North Indian'],550,80
1135,Basement                                     ,Paldi,4.1,"['Fast Food', 'North Indian']",300,49
1136,Big Bite Cafe                                     ,Thaltej,3.4,['Cafe'],400,49
1137,Gunjan Garden Restaurant                                     ,Nikol,3.3,"['North Indian', 'Chinese', 'Mughlai', 'Fast Food']",600,86
1138,Jay Ashapura Parotha House                                     ,Sola,3.2,['Gujarati'],250,75
1139,Pol Kholi                                     ,Manek Chowk,3.6,"['Continental', 'Gujarati', 'Street Food']",800,40
1140,Raipur Bhajiya House                                     ,Astodia,3.7,['Fast Food'],100,112
1141,Amrutam                                     ,Nikol,3.7,['Gujarati'],800,67
1142,Pushp Restaurant                                     ,Vastral,3.6,"['North Indian', 'Chinese']",650,102
1143,Palvit Da Paratha                                     ,Sola,3.4,['North Indian'],300,73
1144,HOP Meal                                     ,Prahlad Nagar,3.3,"['North Indian', 'Chinese', 'Continental']",700,49
1145,Dhosa Hub                                     ,Gota,3.1,['South Indian'],300,86
